"LD Clump p<5e-3"	"LD Clump p<1e-3"	"LD Clump p<5e-4"	"LD Clump p<1e-4"	"LD Clump p<5e-5"	"LD Clump p<1e-5"	"LD Clump p<5e-6"	"LD Clump p<1e-6"	"LD Clump p<5e-7"	"LD Clump p<1e-7"
16.1	37.44	33.74	33.28	22.43	-34.53	7.26	-13.09	-16.08	2.98
14.07	30.99	18.07	26.84	12.19	-40.44	-5.09	-16.96	-14.4	-2.81
13.24	36.64	21.06	21.32	8.29	-39.31	2.4	-15.39	-11.64	-7.11
11.42	29.38	17.48	21.28	4.31	-48.04	-1.61	-28.04	-25.41	-0.34
10.75	32.53	17.57	19.72	11.3	-37.22	10.83	-5.46	-0.76	7.95
10.27	30.82	15.95	11.08	-1.74	-54.89	-8.68	-28.24	-30.34	-15.35
10.03	26.89	15.53	15.93	4.75	-46.46	-7.45	-35.75	-34.88	-27.39
15.16	36.43	27.1	34.9	24.2	-27.2	13.7	11.5	15.21	43.28
8.67	36.6	27.99	33.85	17.93	-25.48	1.98	-28.68	-26.59	-7.29
17.01	41.07	34.06	55.46	52.7	9.8	69.07	79.26	94.64	126.85
9.79	31.13	17.09	13.88	0.67	-51.01	-9.23	-30.63	-36.25	-31.76
11.6	33.87	20.44	32.43	13.83	-37.96	6.95	-4.36	2.87	14.98
13.2	26.86	24.7	25.13	9.88	-36.77	11.32	1.19	9.76	33.61
15.4	37.02	27.57	32.62	26.34	-21.59	24.85	27.7	38.34	53.23
6.75	23.23	7.51	7.1	-2.43	-53.32	-12.51	-30.98	-31.83	-20.8
11.41	27.93	12.99	15.63	4.98	-45.74	-2.59	-22.21	-18.31	2.43
12.53	28.27	13.88	2.7	-11.16	-63.74	-26.79	-48.62	-46.19	-39.09
12.66	31.56	19.26	21.95	10.98	-40.59	-5.57	-25.86	-23.92	-16.54
11.4	27.74	16.92	20.68	3.78	-43.98	-7.56	-20.58	-16.36	-6.94
15.96	33.2	15.23	12.6	-2.83	-63.73	-21.36	-35.3	-33.44	-46.06
13.64	32.4	20.7	20.25	11.61	-39.35	10.95	7.52	13.48	10.49
11.55	27.22	16.78	20.4	7.57	-48.07	-5.42	-13.7	-4.85	20.37
11.07	30.03	16.02	13.62	4.1	-42.7	3.38	-2.83	3.98	11.18
12.55	33.29	22.16	30.26	21.87	-27.74	7.76	2.45	3.4	19.29
10.8	30.27	12.54	25.03	17.56	-24.85	20.14	20.5	25.39	35.43
11.55	29.21	27.18	36.48	17.87	-37.48	-7.42	-16.48	-4.4	2.3
17.36	40.72	43.16	9.48	-3.78	-54.23	-13.18	-25.53	-18.84	-8.65
23.49	45.68	52.87	18.92	-8.82	-57.76	-14.43	-14.96	-9.96	2.92
13.93	41	43.69	12.02	-2	-49.54	-7.39	-16.73	-8.56	-1
