"scores"	"m"	"norm.scores"	"clump.score.5e3"	"m.clump.5e3"	"norm.clump.score.5e3"
"HG01879"	25.96	31430	82.61	14.24	8848	16.1
"NA19625"	4.62	31426	14.69	12.45	8848	14.07
"HG03006"	1.43	31430	4.55	11.71	8847	13.24
"HG00867"	-17.56	31430	-55.88	10.11	8849	11.42
"NA06984"	-17.5	31431	-55.69	9.51	8848	10.75
"NA18525"	-21.62	31431	-68.79	9.09	8848	10.27
"HG00403"	-14.13	31431	-44.95	8.87	8850	10.03
"HG01119"	-5.14	31429	-16.36	13.42	8848	15.16
"HG02922"	9.38	31428	29.84	7.67	8848	8.67
"HG00171"	21.11	31429	67.16	15.05	8847	17.01
"HG00155"	-0.6	31427	-1.92	8.66	8847	9.79
"NA20868"	-9.16	31427	-29.14	10.27	8848	11.6
"HG03024"	-0.98	31431	-3.12	11.68	8850	13.2
"HG01500"	-3.62	31430	-11.53	13.62	8848	15.4
"HG03871"	-38.52	31432	-122.57	5.97	8850	6.75
"NA18939"	-21.87	31430	-69.58	10.1	8849	11.41
"HG01595"	-7.51	31431	-23.9	11.09	8850	12.53
"NA19331"	8.38	31430	26.66	11.2	8849	12.66
"HG03057"	4.91	31431	15.62	10.09	8849	11.4
"NA19734"	12.02	31431	38.25	14.12	8849	15.96
"HG01565"	-19.69	31428	-62.65	12.07	8849	13.64
"HG03022"	-12.29	31430	-39.11	10.22	8849	11.55
"HG00551"	-12.39	31429	-39.42	9.79	8849	11.07
"HG03646"	-7.79	31430	-24.77	11.1	8848	12.55
"NA20502"	-6.92	31431	-22.01	9.55	8848	10.8
"NA18486"	-11.32	31424	-36.03	10.22	8845	11.55
"Altai"	-3.48	27654	-12.58	13.57	7821	17.36
"Denisovian"	9.59	27647	34.7	18.37	7820	23.49
"Vindija"	-3.36	27648	-12.16	10.89	7819	13.93
